Substrate,id,num,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc,Score
CDC2L2,KLHL8,4,0.73038,0.76631,0.981193,71,1,0.047686,0.136451128
CDC2L2,KLHL2,4,0.74219,0.77325,0.981193,72,1,-0.64055,0.129484901
CDC2L2,ABTB1,4,0.75732,0.78267,0.981193,73,1,-1.0178,0.120720574
CDC2L2,KLHL29,4,0.77876,0.79677,0.981193,74,1,-0.10524,0.108596364
CDC2L2,BTBD6,4,0.79875,0.81046,0.981193,75,1,-0.73042,0.097589129
CDC2L2,KLHL4,4,0.80194,0.81265,0.981193,76,1,-0.084453,0.095858124
CDC2L2,KLHL12,4,0.82901,0.83385,0.981193,77,1,-0.021807,0.081440231
CDC2L2,LGALS3BP,4,0.8401,0.84304,0.981193,78,1,-0.37256,0.075669015
CDC2L2,RHOBTB2,4,0.85572,0.85665,0.981193,79,1,-0.040796,0.067668318
CDC2L2,RCBTB2,4,0.86784,0.86826,0.981193,80,1,-0.41388,0.061560336
CDC2L2,ARMC5,4,0.87247,0.87297,0.981193,81,0,-0.057223,0.059249497
CDC2L2,IVNS1ABP,4,0.87918,0.87974,0.981193,82,0,-1.2442,0.0559222
CDC2L2,KCTD9,4,0.8835,0.88393,0.981193,83,0,-0.57858,0.053793446
CDC2L2,KLHL28,2,0.8856,0.88446,0.981193,84,0,-0.29638,0.052762392
CDC2L2,ABTB2,4,0.89578,0.89506,0.981193,85,0,-0.3731,0.047798638
CDC2L2,KCTD11,4,0.89773,0.89689,0.981193,86,0,-0.051868,0.046854261
CDC2L2,KCTD21,4,0.90885,0.90777,0.981193,87,0,-0.22607,0.041507788
CDC2L2,KLHL42,4,0.92835,0.92734,0.981193,88,0,-0.39852,0.032288258
CDC2L2,ENC1,4,0.93683,0.93602,0.981193,89,0,-0.45731,0.02833921
CDC2L2,KCTD13,4,0.94205,0.94114,0.981193,90,0,-0.97774,0.025926046
CDC2L2,BTBD9,4,0.95681,0.95661,0.981193,91,0,-0.40989,0.019174294
CDC2L2,KLHL7,4,0.95977,0.95941,0.981193,92,0,-0.23575,0.017832829
CDC2L2,ZBTB16,4,0.96072,0.96054,0.981193,93,0,-0.22894,0.017403168
CDC2L2,KCTD3,4,0.97378,0.97448,0.984845,94,0,-0.44751,0.011539149
CDC2L2,KLHL20,4,0.99881,0.99901,0.999006,95,0,-0.69866,0.000517118
TRIM15,CUL3,4,9.03E-08,4.99E-06,0.000237,1,4,2.5274,7.044470991
TRIM15,KLHL13,4,3.75E-06,4.99E-06,0.000237,2,4,1.1776,5.426188831
TRIM15,KLHL9,4,0.00051619,0.0020024,0.063409,3,4,1.4721,3.287190413
TRIM15,KLHL14,4,0.013409,0.042899,0.756404,4,3,0.6048,1.872603609
TRIM15,RHOBTB3,4,0.013788,0.044058,0.756404,5,4,0.38568,1.860498725
TRIM15,KLHL7,4,0.016651,0.052986,0.756404,6,3,0.67756,1.778559679
TRIM15,BTBD10,4,0.026691,0.074438,0.756404,7,3,0.5868,1.573635155
TRIM15,KBTBD7,4,0.027715,0.076575,0.756404,8,3,0.58775,1.557285117
TRIM15,ENC1,4,0.028763,0.078763,0.756404,9,3,0.70024,1.541165819
TRIM15,KLHL40,4,0.029198,0.079621,0.756404,10,2,0.60936,1.534646896
TRIM15,KLHL32,4,0.036785,0.095041,0.820812,11,3,0.42059,1.43432924
TRIM15,IVNS1ABP,4,0.057389,0.13521,0.988067,12,2,0.27243,1.241171343
TRIM15,KCTD18,4,0.074691,0.16812,0.993429,13,2,0.38962,1.126731726
TRIM15,ZBTB16,4,0.083895,0.18567,0.993429,14,3,0.34525,1.076263922
TRIM15,RBX1,4,0.087788,0.19284,0.993429,15,3,0.45035,1.056564845
TRIM15,ARIH1,4,0.09199,0.20027,0.993429,16,3,0.3542,1.036259381
TRIM15,KBTBD4,4,0.098504,0.21145,0.993429,17,3,0.39222,1.006546134
TRIM15,KLHL21,4,0.10527,0.22345,0.993429,18,3,0.22784,0.977695377
TRIM15,KCTD12,1,0.116,0.11642,0.921687,19,1,0.79124,0.935542011
TRIM15,BTBD1,4,0.11714,0.24396,0.993429,20,2,0.074334,0.93129478
TRIM15,KLHL42,4,0.13641,0.27648,0.993429,21,2,-0.26203,0.865153791
TRIM15,KCTD11,4,0.13942,0.28158,0.993429,22,2,0.14359,0.855674922
TRIM15,KCTD15,4,0.14593,0.28974,0.993429,23,2,-0.059821,0.835855418
TRIM15,BTBD6,4,0.1587,0.30214,0.993429,24,2,0.38174,0.799423073
TRIM15,RHOBTB2,4,0.18321,0.32692,0.993429,25,2,0.18562,0.737050825
TRIM15,KLHL26,4,0.19233,0.3359,0.993429,26,1,-0.092103,0.715952968
TRIM15,KCTD21,4,0.21035,0.35353,0.993429,27,1,-0.309,0.677057484
